,roles,companies,locations,experience,skills
37,Software QA Automation Engineer,PubMatic,New Delhi,0-2 Yrs,"Computer science
automation framework
Product quality
Automation testing
Quality improvement
Software QA
Machine learning
Quality engineering"
38,Senior Data Ops Engineer,GSK India,Bangalore/Bengaluru,3-8 Yrs,"C#
SQL
Python
Data Factory
Power BI
Power Apps
Machine Learning
Data Science"
39,Senior Data Engineer,First Employer,"Pune, Delhi / NCR",7-10 Yrs,"pyspark
Spark
Python
Pandas
Matplotlib
Mysql
Numpy
IT Skills"
40,Senior Data Scientist,Shell,"Chennai, Bangalore/Bengaluru",6-11 Yrs,"NLP
Computer Vision
Deep Learning
Data Science
Predictive Modeling
R
Reinforcement Learning
Data Analytics"
41,DBCG IND - GAMMA Senior Data Scientist,Boston Consulting Group,"Mumbai, Delhi, Chennai, Bengaluru",6-10 Yrs,"Computer science
advanced analytics
SDS
data science
Artificial Intelligence
Project management
Machine learning
Management consulting"
42,"Data Science , Senior Design Engineer",Schneider Electric,Bangalore/Bengaluru,3-6 Yrs,"Computer science
Solution architecture
Analytical
Ethernet
Machine learning
Scrum
HTTP
Business strategy"
43,Hiring Deep Learning Engineer For Bangalore & Kochi,Ignitarium Technology Solutions Private Limited,"Kochi/Cochin, Bangalore/Bengaluru",4-9 Yrs,"Neural Networks
Image Processing
Python
Linux
Caffe
C
LSTM
GPU"
44,Hiring Deep Learning Engineer For Bangalore & Kochi,Ignitarium Technology Solutions Private Limited,"Kochi/Cochin, Bangalore/Bengaluru",4-9 Yrs,"Neural Networks
Image Processing
Python
RNN
LSTM
Tensor Flow
OpenCL
C"
45,Hiring Deep Learning Engineer For Bangalore & Kochi,Ignitarium Technology Solutions Private Limited,"Kochi/Cochin, Bangalore/Bengaluru",4-9 Yrs,"Neural Networks
Image Processing
Python
OpenCV
C++
RNN
Tensor Flow
OpenCL"
46,Senior Project Engineer - Computer Vision/ Deep Learning,e-con Systems,Chennai,3-4 Yrs,"IT Skills
Python
Machine Learning
Product Management
Pytorch
C++
C
Opencv"
47,Senior Engineer-Automation(Ansible/Puppet & Prometheus/ Grafana),Dell,Bangalore/Bengaluru,6-11 Yrs,"JavaScript
ShellScripts
Python
Puppet
GitLab
Perl
Infrastructure as code
Continuous Development"
48,Senior Devops Engineer,GSK India,Bangalore/Bengaluru,4-6 Yrs,"Azure
AI
Devops
Java
Artificial Intelligence
Bash
Machine Learning
Jenkins"
49,"Cloud Infrastructure Support, Senior Software Engineer(Boomi)",Dell,Bangalore/Bengaluru,5-10 Yrs,"SSH
TCP/IP
NFS
Java
C
Scalability
Artificial Intelligence
Go"
50,Senior Principal AI Engineer,Intel,Bangalore/Bengaluru,7-11 Yrs,"Computer science
Computer vision
deep learning
Data analysis
Neural networks
Artificial Intelligence
Machine learning
Technical leadership"
51,Specialist - Data Scientist,UPL,Mumbai,7-12 Yrs,"data science
AI
ML
Tensorflow
R
Artificial Intelligence
Keras
Machine Learning"
52,Associate Professional - Data Scientist / Analytics,Sutherland Global Services Inc,Bangalore/Bengaluru,4-8 Yrs,"Python
communication
analytical
R
Text Analytics
SQL
SAS
IT Skills"
53,Principal Software Engineer - Data Management,Dell,Bangalore/Bengaluru,3-8 Yrs,"Golang
Java
Rust
C++
Software Development
C
Software Engineering
Programming"
54,Data Engineer,GSK India,Bangalore/Bengaluru,5-10 Yrs,"Data Factory
Databricks
SQL DW
Java
Power BI
Power Apps
Scala
Architectural Patterns"
55,Data Engineer,CRESCENDO GLOBAL LEADERSHIP HIRING INDIA PRIVATE L IMITED,"Pune, Gurgaon/Gurugram, Bangalore/Bengaluru",4-9 Yrs,"python
Spark
big data
IT Skills
Java
Testing
Machine Learning
Cloud"
56,ML Engineering Lead - Big Data,Decision Point,Gurgaon/Gurugram,4-6 Yrs,"IT Skills
Python
Machine Learning
Cloud
Project Management
Big Data
AWS
R"
57,Data Scientist,Capgemini,Mumbai,6-9 Yrs,"Image Analytics
NLP
OpenCV
R
learning
verbal communication
written
Python"
58,Opening For Director - Data Engineering,Fareportal,Gurgaon/Gurugram,10-15 Yrs,"snowflake
python
streaming
java
spark
kafka
machine learning
data engineering"
59,AI Engineer,Philips India Limited,Bangalore/Bengaluru,0-3 Yrs,"C++
Front end
Image processing
Machine learning
Healthcare
Workflow
biomedical
MATLAB"
60,Senior Data & Applied Scientist,Microsoft,"Hyderabad/Secunderabad, Bangalore/Bengaluru",5-8 Yrs,"Big data
AWS
Azure
Google Cloud Azure
IT Skills
Machine Learning
Cloud
Product Management"
61,Sr Data Scientist,Apptio India LLP,Bangalore/Bengaluru,7-11 Yrs,"Machine Learning
Deep Learning
Statistical Models
analysis
Scikit
PySpark
data science
Time Series"
62,Audio ML Deep Learning Specialist,Sony,Bangalore/Bengaluru,2-5 Yrs,"Pytorch
deep learning
written
communication
Linux
Tensorflow
github
Python"
63,"Urgent hiring For "" DATA-Analyst "" For Delhi",Alp Consulting Limited,Delhi / NCR,4-7 Yrs,"deep learning
python
tensorflow
nlp
data cleaning
probability
keras
machine learning"
64,Data Analyst / Data Scientist,GUS Global Services,Gurgaon/Gurugram,3-4 Yrs,"Data Anlalytics
Power Bi
Tableau
IT Skills
Python
Data Science
Machine Learning
Artificial Intelligence"
65,"Developer Associate -OOPs, Fiori Elements, UI5, ABAP",SAP India Pvt.Ltd,Bangalore/Bengaluru,0-3 Yrs,"UI5
OOPs
Fiori Elements
Material Master
Software Development
Software Engineering
Master Data Management
Information Science"
66,IT Fresher - Software Developer- 6 LACS Salary,Ideal Job consultant,Remote,0-1 Yrs,"communications
Java
development
BE
software
Artificial Intelligence
android
Programming"
67,Supply Chain Lead,Wipro,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR",10-15 Yrs,"AI
chain
cloud computing
Oracle
SAP
machine learning
IT Skills
Data Science"
68,Customer Growth Marketing - APJ Business Insights Engineer,Dell,Bangalore/Bengaluru,2-7 Yrs,"Tableau
DASH
PowerBI
IT Skills
Python
Matplotlib
Java
Data Engineering"
69,Software Engineer 2,Dell,Bangalore/Bengaluru,5-10 Yrs,"Jenkins
Docker
Kubernetes
IT Skills
Software Development
Testing
Cloud
C++"
70,"SITE RELIABILITY ENGINEER, PRODUCTION ENGINEERING",Dell,Bangalore/Bengaluru,8-13 Yrs,"C#
Java
Python
IT Skills
DevOps
AWS
Linux
Terraform"
71,Principal Software Engineer - IT,Dell,Bangalore/Bengaluru,2-7 Yrs,"PL/SQL
Change management
Software Development
Software Engineering
Artificial Intelligence
Functional Specifications
User Stories
Product Life Cycle"
72,Database Engineer Advisor,Dell,Bangalore/Bengaluru,5-8 Yrs,"Mongo
PostgreSQL
Elasticsearch DB
IT Skills
DBA
MS SQL
Regulatory Guidelines
Database Administration"
73,Staff Engineer (Amazon DocumentDB),Nagarro,Remote,6-9 Yrs,"Amazon Redshift
Apache Kafka
Amazon Timestream
aws glue
data modeling
spark
kafka
Amazon DocumentDB"
74,Associate Principal Engineer (Datawarehouse),Nagarro,Remote,9-12 Yrs,"CTDO
power bi
etl
IT Skills
Python
Machine Learning
Salesforce
business insights"
75,Data Scientist - Deep Learning Solutions,Huquo Consulting Pvt. Ltd,"Noida, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru",1-6 Yrs,"NLP
Deep Learning
TensorFlow
IT Skills
Python
Software Development
Data Science
Machine Learning"
76,Python AI ML Developer and Data Scientist at Fluid AI,Fluid AI,Remote,0-5 Yrs,"Data Science
Machine Learning
Python
Slack
AWS Workspace
Confluence
Jira
Miro"
77,Data Scientist,Princeton IT Services Pvt Ltd,"Hyderabad/Secunderabad, Bangalore/Bengaluru",3-8 Yrs,"Transformers
CNN
data analysis
Spark
PyTorch
AWS SageMaker
LSTMs
Azure ML"
78,Data Scientist,PRI India,Bangalore/Bengaluru,4-8 Yrs,"learning
Python
Tensorflow
Jupyter
data mining
statistical modelling
artificial neural
data analytics"
79,Associate Principal Consultant (Business Analyst),Nagarro,Remote,9-12 Yrs,"data science
Data Warehouse Design
machine learning
IT Skills
Big Data
sprint planning
uat
flow diagrams"
