,Unnamed: 0,roles,companies,locations,experience,skills
27,27,Data Scientist - Lead / Architect - Looking For Early Joiners - Wipro,Wipro,"Kochi/Cochin, Kolkata, Pune, Gurgaon/Gurugram, Chennai, Coimbatore, Bangalore/Bengaluru, Mumbai (All Areas), Hyderabad",5-10 Yrs,"Data Science
SAS
Python
Artificial Intelligence
R
SQL
analytics
Microservices"
28,28,Data Analyst / Data Scientist,GUS Global Services,Gurgaon/Gurugram,3-4 Yrs,"Data Anlalytics
Power Bi
Tableau
excel
python
exploratory data analysis
data science
statistical modeling"
29,29,Data Scientist / ML Engineer,AVE-Promagne,"Noida, Kota, Mumbai, Chandigarh, Lucknow, Agra, Gurgaon/Gurugram, Jaipur, Bangalore/Bengaluru",3-8 Yrs,"data analysis
data science
predictive analytics
data visualization
machine learning
ML
statistics"
30,30,Data Scientist,TRH Consultancy Services,"Kolkata, Mumbai, Nagpur, Hyderabad/Secunderabad, Pune, Chennai, Coimbatore, Bangalore/Bengaluru, Delhi / NCR",5-10 Yrs,"R
Python
ML
IT Skills
Selenium
Machine Learning
Big Data
NLP"
31,31,Lead Data Scientist,NAVIKENZ INDIA PRIVATE LIMITED,"Hyderabad/Secunderabad, Bangalore/Bengaluru, Delhi / NCR
(WFH during Covid)",5-10 Yrs,"machine learning
nlp
data science
IT Skills
Java
Python
Cloud
Javascript"
32,32,Senior Data Scientist,Shell,"Chennai, Bangalore/Bengaluru",6-11 Yrs,"NLP
Computer Vision
Deep Learning
Data Science
Predictive Modeling
R
Reinforcement Learning
Data Analytics"
33,33,Data Scientist,SplashLearn,Gurgaon/Gurugram,4-9 Yrs,"Computer science
customer segmentation
Data analysis
Usage
Statistical analysis
data science
Analytical
Machine learning"
34,34,Data Scientist,Splash M,Gurgaon/Gurugram,2-6 Yrs,"Computer science
customer segmentation
Data analysis
Usage
Statistical analysis
data science
Analytical
Machine learning"
35,35,Opportunity For Data Scientist Internship - Bengaluru,Corner Stone Solutions,"Indore, Bangalore/Bengaluru
(WFH during Covid)",0-1 Yrs,"Deep Learning
NLP
Computer Vision
IT Skills
Python
Data Science
Cloud
AWS"
36,36,Sr Data Scientist and Engineer,Sportism,Chennai,5-8 Yrs,"Tensorflow
PyTorch
MxNet
IT Skills
Testing
Data Science
Machine Learning
Big Query"
37,37,Sr. Data Scientist,Kimberly-Clark Lever Limited,Bangalore/Bengaluru,12-17 Yrs,"Data analysis
SAP
SAS
Data modeling
RDBMS
Coding
Javascript
Agile"
38,38,Sr. Data Scientist,Kimberly-Clark Lever Limited,Bangalore/Bengaluru,10-15 Yrs,"Procurement
Supply chain
C++
Data analysis
Networking
Data management
Data modeling
MySQL"
39,39,"Senior Data Scientist, NLP",Thomson Reuters,Bangalore/Bengaluru,3-6 Yrs,"Artificial Intelligence
Diversity and Inclusion
Machine learning
Legal
Natural language processing
Research
Taxation
Management"
40,40,Senior Data Scientist,Walmart,Bangalore/Bengaluru,5-9 Yrs,"IT Skills
Python
Data Science
Machine Learning
Big Data
Unix
deep learning
Linux"
41,41,Senior Data Scientist,Thomson Reuters,Bangalore/Bengaluru,6-8 Yrs,"IT Skills
Python
Data Science
Machine Learning
AWS
Tableau
Power BI
data analytics"
42,42,Senior Data Scientist Payments,Airbnb,Bangalore/Bengaluru,5-10 Yrs,"Relationship management
RCA
SQL queries
Strategic partnerships
Project management
Analytical
Architectural design
Management"
43,43,Sr. Data Scientist,Thomson Reuters,Bangalore/Bengaluru,3-6 Yrs,"Computer science
Customer acquisition
Business analytics
Analytical
Consulting
Customer retention
Informatica
Operations"
44,44,Data Scientist,Shell,Chennai,3-8 Yrs,"R
Power BI
Python
Data Science
Multivariate Analysis
Exploratory Data Analysis
Factor Analysis
Time Series"
45,45,Data Scientist - R/Python,Serving Skill,Noida,1-5 Yrs,"R
Python
ML
IT Skills
Java
Testing
Machine Learning
Javascript"
46,46,Data Scientist,cliqhr.com,Delhi / NCR,3-6 Yrs,"R
statistical programming
Python
PyTorch
Scrapy
Selenium
Scikit
ML"
47,47,Farfetch - Senior Data Scientist,Farfetch,New Delhi,5-9 Yrs,"Computer science
Data analysis
Operations research
data science
GCP
Machine learning
Hypothesis Testing
Technical support"
48,48,Senior Data Scientist,Grid Logic Software Private Limited,Gurgaon/Gurugram,5-10 Yrs,"analytical
IT Skills
Quality Assurance
Computer science
Product engineering
data manipulation
Instrumentation
Gaming"
49,49,Senior Data Scientist,Recruiterflow Inc,Gurgaon/Gurugram,3-8 Yrs,"IT Skills
Data Science
Machine Learning
Training
Computer vision
deep learning
Opencv
Research"
50,50,Senior Data Scientist,ParallelDots,Gurgaon/Gurugram,3-8 Yrs,"OpenCV
Deep Learning
Data Science PyTorch
Computer Vision stack
Docker
Kubernetes
Training
Computer vision"
51,51,Sr. Data Scientist (15412),Easy Recruit,Bangalore/Bengaluru,8-11 Yrs,"Marketing analytics
Azure
Medical analytics
IT Skills
Python
Data Science
Machine Learning
Cloud"
52,52,Lead Data Scientist - Machine Learning/ Data Mining,Wrackle Technologies Pvt Ltd,Bangalore/Bengaluru,6-11 Yrs,"Python
data analysis
data mining
R
machine learning
written
verbal communication
statistical analysis"
53,53,Analyst / Data Scientist,MilliporeSigma,Bangalore/Bengaluru,2-5 Yrs,"Data analysis
Analytical
Consulting
Healthcare
data visualization
Data mining
Monitoring
SQL"
54,54,Analyst - Data Scientist,UPL,Mumbai,2-3 Yrs,"NLP
Scala
Python
Tensorflow
Data Science
Hadoop
Keras
Spark"
55,55,CarbyneTech - Data Scientist - Machine Learning/Python,CarbyneTech India,Hyderabad/Secunderabad,3-8 Yrs,"R
Python
SQL
Predictive Modeling
Data Management
Machine Learning"
56,56,Data Scientist,DBS,Mumbai (All Areas),2-7 Yrs,"customer segmentation
r
tensorflow
data science
SAS
predictive modeling
MySQL
machine learning"
57,57,Data Scientist - Immediate Joiners only,MLAI Digital,"Bangalore/Bengaluru, Delhi / NCR",3-6 Yrs,"Pyspark
Debugging
Big data
IT Skills
Testing
python
Spark
AWS"
58,58,Data Scientist,NAVIKENZ INDIA PRIVATE LIMITED,"Hyderabad/Secunderabad, Bangalore/Bengaluru, Delhi / NCR
(WFH during Covid)",2-5 Yrs,"GCP
data mining
Data Visualization
IT Skills
Java
Python
Machine Learning
Cloud"
59,59,Sr. Data Scientist- Advanced Analytics/Data Science & Machine Learning,Fidelity IT Jobs,Gurgaon/Gurugram,7-12 Yrs,"Data Science
R
Scala
Data Management
Advanced Analytics
Web Analytics
Data Modeling
Data Analytics"
60,60,Data Scientist/ Sr Data Scientist,Connexions,Gurgaon/Gurugram,2-6 Yrs,"Pyspark
R
Python
Model Management Lifecycle
credit risk modeling
Hadoop
LGD
SQL"
61,61,Senior Data Scientist - Product Development Firm - IIT/NIT/BITS,Huquo Consulting Pvt. Ltd,"Gurgaon/Gurugram, Delhi / NCR",5-10 Yrs,"Natural Language Processing
Computer Vision
Apache Spark
Data Science
Data Scientist
Data Management
Data Modeling
Data Analytics"
62,62,Wanted Data Scientists / Senior Data Scientists For our MNC client.,Andre Consultancy Services Private Limited,"Noida, Chennai, Bangalore/Bengaluru",2-6 Yrs,"python
Data Scientist
machine learning
IT Skills
Tableau
Power BI
deep learning
r"
63,63,Senior Data Scientist/Data Scientist,Tredence Analytics Solutions Private Limited,"Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru",2-7 Yrs,"deep learning
data science
machine learning
NumPy
data analysis
Pandas
Spark
Natural Language Processing"
64,64,Senior Data Scientist,GREAT LAKES E-LEARNING SERVICES PRIVATE LIMITED,"Gurgaon/Gurugram, Bangalore/Bengaluru",5-8 Yrs,"Team Handling
data science
Python
data analysis
case studies
business intelligence
customer experience"
65,65,Senior Marketing Data Scientist,Thomson Reuters,Hyderabad/Secunderabad,4-6 Yrs,"BPO
troubleshooting
Global marketing
Cloud computing
data science
Machine learning
Econometrics
Forecasting"
66,66,Data Scientist: Advanced Analytics,IBM,Bangalore/Bengaluru,2-5 Yrs,"Training
advanced analytics
Interpersonal skills
data science
Circuit designing
Consulting
Machine learning
Open source"
67,67,Data Scientist: Advanced Analytics,IBM,Bangalore/Bengaluru,5-10 Yrs,"Training
advanced analytics
Interpersonal skills
data science
Circuit designing
Consulting
Machine learning
Open source"
68,68,Data Scientist: Advanced Analytics,IBM,Bangalore/Bengaluru,2-5 Yrs,"Training
advanced analytics
Interpersonal skills
data science
Circuit designing
Consulting
Machine learning
Open source"
69,69,Data Scientist: Artificial Intelligence,IBM,Bangalore/Bengaluru,12-15 Yrs,"Automation
Interpersonal skills
Artificial Intelligence
Hadoop
Scheduling
big data
Open source
Unix shell scripting"
70,70,Data Scientist: Artificial Intelligence,IBM,Bangalore/Bengaluru,3-7 Yrs,"Data migration
Purchase
Maximo
Enterprise applications
Data modeling
Artificial Intelligence
Deployment
Open source"
71,71,Data Scientist: Advanced Analytics,IBM,Gurgaon/Gurugram,5-10 Yrs,"IT Skills
Data Science
Machine Learning
Training
advanced analytics
Interpersonal skills
Circuit designing
Consulting"
72,72,Junior Data Scientist,KWALEE INDIA PRIVATE LIMITED,Bangalore/Bengaluru,1-6 Yrs,"Tensorflow
Data Science
NoSQL
Data Management
Statistical Modeling
Data Analysis
Machine Learning
Deep Learning"
73,73,Data Scientist,TRH Consultancy Services,"Kolkata, Mumbai, Nagpur, Hyderabad/Secunderabad, New Delhi, Pune, Chennai, Coimbatore, Bangalore/Bengaluru",11-15 Yrs,"NTLK
TextBlob
SpaCy
Graph DB
BeautifulSoup
Scrapy
Machine Learning
PyTorch"
74,74,Data Scientist - NLP/R/Python,AIM recruits,"Mumbai, Pune, Chennai, Gurgaon/Gurugram, Bangalore/Bengaluru",5-7 Yrs,"R
NLP
Python
SSAS
Artificial Intelligence
Time Series Forecasting
Big Data
ETL"
75,75,Lead Data Scientist,TransOrg Solutions Services (P) Ltd.,"Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)
(WFH during Covid)",4-9 Yrs,"R
Python
SQL
Data Science
Data Manipulation
Artificial Intelligence
Linear Regression
Machine Learning"
76,76,Senior Data Scientist I,Delhivery,Bangalore/Bengaluru,3-7 Yrs,"Operations research
Excel
Machine learning
Vice President
Mathematics
Management
Business intelligence
Operations"
77,77,Senior Data Scientist - Regression Modeling,Liquiloans,Mumbai,4-6 Yrs,"GLMGAM
Random Forests
SVM
Data Scientist
Data Management
Regression Modeling
Machine Learning
programming"
78,78,Data Scientist,Kimberly-Clark Lever Limited,Bangalore/Bengaluru,5-10 Yrs,"Supply chain
Data analysis
NoSQL
Configuration management
Machine learning
Data processing
Open source
Monitoring"
79,79,Data Scientist,Born Commerce,"Bangalore/Bengaluru
(WFH during Covid)",5-8 Yrs,"matlab
image processing
python
c++
tensorflow
r
data science
Artificial Intelligence"
80,80,Data Scientist,Kimberly-Clark Lever Limited,Bangalore/Bengaluru,5-10 Yrs,"Data analysis
SAP
SAS
Data modeling
RDBMS
Coding
Javascript
Agile"
81,81,Data Scientist,Kimberly-Clark Lever Limited,Bangalore/Bengaluru,2-3 Yrs,"Procurement
Supply chain
Computer science
Data analysis
Networking
Data management
Data modeling
MySQL"
82,82,Data Scientist,Glance IT Solution,Bangalore/Bengaluru,3-6 Yrs,"machine learning
linux
NoSQL
Java
Hadoop
Spark
data analysis
Python"
83,83,Data Scientist,KWALEE INDIA PRIVATE LIMITED,Bangalore/Bengaluru,2-7 Yrs,"Tensorflow
Data Science
NoSQL
Statistical Modeling
Data Analysis
Machine Learning
AWS
Deep Learning"
84,84,Data Scientist,Kimberly-Clark Lever Limited,Bangalore/Bengaluru,5-10 Yrs,"Supply chain
Data analysis
NoSQL
Configuration management
Machine learning
Data processing
Open source
Monitoring"
85,85,"Data Scientist, Data & Analytics",Thomson Reuters,Bangalore/Bengaluru,2-4 Yrs,"Customer acquisition
Cloud computing
Business analytics
Analytical
Machine learning
Customer retention
Taxation
data visualization"
86,86,Data Scientist,Z2Plus Placement & Security Agency Pvt. Ltd.,Bangalore/Bengaluru,2-3 Yrs,"Supply chain
Logistic regression
Industry research
Neural networks
Project management
Machine learning
Business excellence
Natural language processing"
87,87,Manager Data Analytics or Data Scientist,Thomson Reuters,Bangalore/Bengaluru,4-7 Yrs,"data science
Compliance
Analytical
Diversity and Inclusion
Intellectual property
Legal
Principal Investigator
Data analytics"
88,88,Louis Dreyfus Company Looking For Data Scientist,Louis Dreyfus Commodities,Bangalore/Bengaluru,0-2 Yrs,"python
SQL
algorithms
inferential statistics
r
C++
Descriptive Analysis
data modeling"
89,89,Associate Data Scientist,Shell,Chennai,3-8 Yrs,"Azure Analysis Services
machine learning
Python
Data Science
Factor Analysis
Marketing Mix Modeling
Natural Language Processing
Neural Networks"
90,90,Associate Professional - Data Scientist / Analytics,Sutherland Global Services Inc,Hyderabad/Secunderabad,4-8 Yrs,"IT Skills
Big Data
Tableau
Power BI
Azure
Performance tuning
MS SQL
Talent acquisition"
91,91,Data Scientist - Lead / Architect - Looking For Early Joiners - Wipro,Wipro,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5-10 Yrs,"Python
Artificial Intelligence
SAS
analytics
R
SQL
Microservices
IT Skills"
92,92,Lead Data Scientist - Statistical Modeling/Machine Learning,Bigtapp Analytics,Chennai,5-8 Yrs,"Data Science
Tensorflow
NoSQL
Data Scientist
Hadoop
Statistical Modeling
HDFS
Algorithm"
93,93,Data Scientist & Machine Learning Engineer,ASCENT TECHNOSYSTEMS PRIVATE LIMITED,Pune(Kalyani Nagar),0-5 Yrs,"NLP
ML algorithm
Machine Learning
Databricks
Hive
Model Tuning
Anaconda
Anaconda Enterprise"
94,94,Associate Vice President - Data Scientist - IIT/NIT/IIM/XLRI,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,8-12 Yrs,"IT Skills
Java
Python
Machine Learning
Cloud
Big Data
Data Science
NLP"
95,95,Associate Vice President - Data Scientist - IIT/ NIT/ IIM/ XLRI,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,8-12 Yrs,"IT Skills
Java
Python
Machine Learning
Cloud
Big Data
Data Science
Tensorflow"
96,96,AI Data Scientist,Viral Nation International,New Delhi,3-8 Yrs,"Computer science
Social media marketing
Data analysis
Product engineering
Simulation
Analytical
Social media
Data mining"
97,97,Data Scientist - Python/ MATLAB/ Machine Learning Algorithms,Wrackle Technologies Pvt Ltd,Bangalore/Bengaluru,3-8 Yrs,"Python
data analysis
data mining
Mining
machine learning
Statistical Analysis
written
verbal communication"
98,98,Data Scientist (Consumer Industries),Digilytics AI,Gurgaon/Gurugram,4-7 Yrs,"data science
pytorch
machine learning
IT Skills
Python
deep learning
tensorflow
r"
99,99,Principal Data Scientist - Machine Learning,Prime Infosoft,Bangalore/Bengaluru,4-9 Yrs,"Pytorch
Machine Learning
TensorFlow
Python
communication
analytical
Keras
Julia"
100,100,Data Scientist / Analyst,Talentify,"Hyderabad/Secunderabad, Bangalore/Bengaluru, Delhi / NCR",0-1 Yrs,"Machine learning
Python
IT Skills
Natural Language Processing
Data Analysis"
101,101,Sr Data Scientist,Fragma data systems pvt ltd,"Bangalore/Bengaluru
(WFH during Covid)",5-10 Yrs,"data management
predictive modeling
IT Skills
Testing
Data scientist
algorithms
Banking domain"
102,102,Senior Data Scientist,Siemens,Bangalore/Bengaluru,3-8 Yrs,"Supply chain
Cloud computing
Version control
GIT
Analytical
Artificial Intelligence
Business solutions
Information technology"
103,103,Senior Data Scientist (Fintech),NIRA,Bangalore/Bengaluru,4-6 Yrs,"risk assessment
data science
credit risk
fraud detection
machine learning
ETL
finance
post production"
104,104,Looking For Senior Data Scientist For Denave,Denave India Pvt Ltd.,Noida,7-12 Yrs,"Googles BERT
ML algorithms
python framework
ELMo
RNN
scikit
data wrangling
APIs"
105,105,Senior Data Scientist,Sabre,Bangalore/Bengaluru,3-5 Yrs,"Order management
C++
Data analysis
Data modeling
Consulting
Javascript
Perl
Information technology"
106,106,Data Scientist /Data Analyst For a global leader For Gurgaon/Bangalore,MITR HR Solution,"Gurgaon/Gurugram, Bangalore/Bengaluru
(WFH during Covid)",3-8 Yrs,"nltk
scipy
Python
numpy
matplotlib
analytical
SQL
pandas"
107,107,Data Engineer / Data Scientist / Python Developer US-based IT Co,DXFACTOR SOLUTIONS PRIVATE LIMITED,"Ahmedabad
(WFH during Covid)",5-10 Yrs,"Python
Data Analytics
Artificial Intelligence
Machine Learning
NumPy
Data Science
Kotlin
Node"
108,108,Data Scientist,First Employer,"Gurgaon/Gurugram, Delhi / NCR",4-8 Yrs,"R
multivariate analysis
Python
IT Skills
Data Science
Machine Learning
Cloud
Logistic regression"
109,109,Manager - Data Scientist - Analytics,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,5-10 Yrs,"data analytics
Analytics
Python
Predictive Modeling
Data Science
NLP
SAS
Data Scientist"
110,110,Data Scientist - Python/Spark/Neural Networks,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,7-11 Yrs,"Neural Networks
Spark
Python
IT Skills
Software Development
Data Science
Machine Learning
Tensorflow"
111,111,Data Scientist - Insurance - IIM/ IIT/ NIT,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,11-16 Yrs,"Data Science
Data Scientist
Artificial Intelligence
Data Management
Machine Learning
Statistics
Analytics
Python"
112,112,Data Scientist - Insurance - IIM/ IIT/ NIT,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,6-10 Yrs,"Data Science
Data Scientist
Artificial Intelligence
Data Management
Machine Learning
Statistics
Analytics
Python"
113,113,Data Scientist - Process Excellence & Analytics,Huquo Consulting Pvt. Ltd,Noida,2-4 Yrs,"Data Science
Predictive Modeling
Data Scientist
Process Excellence
Data Analytics
Statistics
Machine Learning
Analytics"
114,114,Manager - Data Scientist/Python - KPO,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,5-8 Yrs,"Retail Analytics
ML
Python
Data Science
NLP
Data Scientist
Data Management
Statistics"
115,115,Data Scientist - Python - Banking Domain,Huquo Consulting Pvt. Ltd,Delhi / NCR,1-4 Yrs,"seaborn
Data Structures
PySpark
scipy
Python
numpy
NLTK
Hbase"
116,116,Data Scientist - BFSI,Huquo Consulting Pvt. Ltd,"Gurgaon/Gurugram, Delhi / NCR",3-8 Yrs,"Data Science
NLP
Data Scientist
Data Management
Statistical Modeling
Data Visualization
Data Analytics
Machine Learning"
117,117,Data Scientist - Python - IIT/DSE/IIMS,Huquo Consulting Pvt. Ltd,Delhi / NCR,2-5 Yrs,"Hbase
SVM
seaborn
NLTK
numpy
pandas
PySpark
scikit"
118,118,Data Scientist,Huquo Consulting Pvt. Ltd,"Gurgaon/Gurugram, Delhi / NCR",3-8 Yrs,"Data Science
NLP
Data Scientist
Data Management
Data Visualization
Machine Learning
SQL
Python"
119,119,Data Scientist - BFSI,Huquo Consulting Pvt. Ltd,"Gurgaon/Gurugram, Delhi / NCR",3-8 Yrs,"Data Science
NLP
Data Scientist
Data Management
Data Visualization
Machine Learning
SQL
Python"
120,120,Assistant Manager - Data Scientist - Insurance,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,2-7 Yrs,"Data Science
R
Logistic Regression
SAS
predictive modeling
Statistical Modeling
Data Modeling
Decision Trees"
121,121,Data Scientist - KPO,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,2-4 Yrs,"Stats Modeling
Python
Data Scientist
Statistical Modeling
Forecasting
linear regression models
logistic regression
R"
122,122,Data Scientist - Python - BFS - IIT/DSE/IIM/NIT,Huquo Consulting Pvt. Ltd,"Gurgaon/Gurugram, Delhi / NCR",2-5 Yrs,"seaborn
Data Structures
PySpark
scipy
Python
numpy
NLTK
Hbase"
123,123,Lead - Data Scientist - Banking Domain - IIT/NIT/BITS,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,4-8 Yrs,"Data Science
Anomaly Detection
R
NLP
Data Mining
Text Mining
SVM
Machine Learning"
124,124,Data Scientist - Deep Learning/Neural Networks,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,6-10 Yrs,"PyTorch
Keras
TensorFlow
IT Skills
Python
Software Development
Data Science
Machine Learning"
125,125,Lead Data Scientist - Deep Learning/Machine Learning,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,2-7 Yrs,"Tensorflow
Machine Learning
Deep Learning
agile methodologies
Neural Networks
NLP
Confluence
Machine Learning Algorithm"
126,126,Lead Data Scientist - Deep Learning/Machine Learning,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,2-7 Yrs,"Natural Language Processing
Machine Learning
Deep Learning
IT Skills
Python
Data Science
Tensorflow
Data Scientist"
127,127,Data Scientist - Deep Learning/Neural Networks,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,6-10 Yrs,"Neural Networks
Deep Learning
IT Skills
Python
Software Development
Data Science
Machine Learning
NLP"
128,128,Manager - Data Scientist/Python,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,5-8 Yrs,"Data Science
NLP
Retail Analytics
Data Scientist
Data Management
Python"
129,129,Data Scientist - Machine Learning,ZISPL,Gurgaon/Gurugram,5-7 Yrs,"data mining
Tableau
Machine Learning
SAS Visual Analytics
analytical
Machine Learning lifecycle
Python
AWSAzureGCP"
130,130,Hiring For Data Analyst and Data Scientist For Gurgaon Location,Shadow Placements,"Noida, Gurgaon/Gurugram, Delhi / NCR",3-7 Yrs,"Text Analytics
Data Mining
Data Extraction
Machine Learning
Deep Learning
Data Science
R
Data Analysis"
131,131,"Sr. Prin, Data Scientist",BNY Mellon,Pune,6-10 Yrs,"data science
Corporate
Technical leadership
Strategic leadership
Representative
Financial services"
132,132,Data Scientist,Fundnel Limited,Mumbai,3-5 Yrs,"Mining
Computer science
Logistic regression
Financial statements
data science
Data modeling
Machine learning
Data mining"
133,133,Data Scientist-Permanent Remote Job,Lending Tree Research Services LLP,Remote,1-6 Yrs,"analytics
R
data insight
data analysis
Excel
data
Scientist
Data Analyst"
134,134,Resulticks Hiring - Data Scientist @ Chennai Location,RESULTICKS DIGITALS INDIA PRIVATE LIMITED,Chennai,3-6 Yrs,"Predictive Modeling
Insights
Logistic Regression
Machine Learning
R Program
Data Science
Regression Analysis
requirement gathering"
135,135,Data Scientist,TK INTERACTIVE PRIVATE LIMITED,Mumbai (All Areas),3-7 Yrs,"IT Skills
Python
Machine Learning
Product Management
Pyspark
AI/ML
MongoDB
ETL"
136,136,Data Scientist,Whatfix,"Gurgaon/Gurugram, Bangalore/Bengaluru",1-3 Yrs,"Computer science
Application support
Analytical
Machine learning
Data mining
Adobe
cisco
Monitoring"
