,roles,companies,locations,experience,skills
29,Data Scientist - Machine Learning,Career Infosystem,Noida,1-5 Yrs,"MongoDB
ML domain
Machine Learning
Predictive modeling
Spark
Python
Deep Learning stack
NLP"
30,Data Scientist - Image Recognition/Machine Learning,CarbyneTech India,Hyderabad/Secunderabad,5-10 Yrs,"Image Recognition
Machine Learning
Python
Hive
design
Learning
Spacy
Pytorch"
31,Technology Services - Senior Analyst - Machine Learning Consultant,eClerx,Chandigarh,2-5 Yrs,"AI
ML
learning
Python
Linux
deep learning
Pandas
machine learning"
32,Machine Learning Data Science Practitioner,Accenture,Noida,4-6 Yrs,"Python
GCP
analytical
Azure
verbal
ETL
written
KNIME"
33,SPECIALIST- DATA ANALYST- MACHINE LEARNING/SPOTFIRE,Carrierin Services,Bangalore/Bengaluru,3-6 Yrs,"HVAC
Analytical
Artificial Intelligence
Machine learning
Data Analyst
Refrigeration
Operations
Python"
34,Data Scientist / Machine Learning Engineer,PubMatic,New Delhi,3-7 Yrs,"Computer science
Data analysis
Machine learning
Metrics analysis
Data mining
MATLAB
Statistics
SQL"
35,Data Engineer: Machine Learning,IBM,Bangalore/Bengaluru,4-8 Yrs,"RDS
EC2
agile
AWS cloud
AWS
Python
Machine learning
Data Interpretation"
36,Data Scientist - Machine Learning/APICS,CarbyneTech India,Hyderabad/Secunderabad,3-8 Yrs,"APICS
Machine Learning
Python
Data Science
R
NLP
Artificial Intelligence
Data Management"
37,Data Engineer - Python / Machine Learning,Vanguard Talent Hub,Delhi / NCR,6-9 Yrs,"Python
django
flask
Vagrant
CICD
Docker
MicroServices
DevOps"
38,Machine Learning Engineer - Python,Marktine,"Jaipur, Bangalore/Bengaluru, Delhi / NCR",4-9 Yrs,"Machine Learning
Forecasting
Python
SpaCy
NLTK
Tensorflow
Cluster analysis
Ensemble machine learning"
39,Machine Learning - Engineer,DOCQUITY SERVICES PRIVATE LIMITED,"Bangalore/Bengaluru, Delhi / NCR",1-3 Yrs,"Machine Learning
Deep Learning"
40,Machine Learning Lead / Architect - Looking For Early Joiners - Wipro,Wipro,"Kochi/Cochin, Kolkata, Gurgaon/Gurugram, Chennai, Coimbatore, Bangalore/Bengaluru, Mumbai (All Areas), Pune, Hyderabad
(WFH during Covid)",5-10 Yrs,"Computer Vision
Machine Learning
Python
IT Skills
Cloud
Pytorch
Tensorflow
Artificial Intelligence"
41,,,,,
42,Remote Job/data Scientist Machine Learning Developer,Kelly Outsourcing and Consulting Group India Priv ate Limited,India,3-5 Yrs,"Data Engineering
Machine Learning
Deep Learning"
43,Data Science- Machine Learning Engineer,Jet2 Travel Technologies Pvt. Ltd.,Pune,3-5 Yrs,"IT Skills
Python
Software Development
Data Science
Machine Learning
Cloud
Big Data
snowflake"
44,Data Scientist - Image Recognition/Machine Learning,CarbyneTech India,Hyderabad/Secunderabad,5-10 Yrs,"NLP
Data Scientist
Time Series Analysis
Artificial Intelligence
Data Management
Image Recognition
Distributed Computing
Machine Learning"
45,Data Scientist - Image Recognition/ Machine Learning,CarbyneTech India,Hyderabad/Secunderabad,5-10 Yrs,"Machine Learning
NLTK
LDA
Pig
Tensorflow
Scala
Spark
SparkML"
46,Machine Learning Engineer (Image Processor),Serviam Manpower,Gurgaon/Gurugram,2-4 Yrs,"analytical
machine Learning
computer vision
data scientist
Computer Vision
Strong Analytical Skills
Machine Learning
Deep Learning"
47,"Software Engineer NLP, Machine Learning",Global Technologies,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru, Delhi / NCR",7-10 Yrs,"Spacy
Machine Learning
Python
Pytorch
Nltk
Tensorflow
NLP
Artificial Intelligence"
48,Machine learning Engineer/ MLops Engineer,TIGER ANALYTICS INDIA CONSULTING PRIVATE LIMITED,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",1-6 Yrs,"IT Skills
Java
Python
Machine Learning
Cloud
Artificial Intelligence
Django
Natural Language Processing"
49,Machine Learning Engineer - BTP Core,SAP India Pvt.Ltd,Bangalore/Bengaluru,3-8 Yrs,"Machine Learning
Software Development
data science
Tensorflow
Java
Grafana
Sybase
Deep Learning"
50,Senior Machine Learning Engineer,TIKET INTERNATIONAL NETWORK PRIVATE LIMITED,"Noida, Delhi / NCR
(WFH during Covid)",5-8 Yrs,"tensorflow
python
java
pytorch
typing
machine learning
artificial intelligence
programming"
51,CarbyneTech - Data Scientist - Machine Learning/Python,CarbyneTech India,Hyderabad/Secunderabad,3-8 Yrs,"R
Python
SQL
Predictive Modeling
Data Management
Machine Learning"
52,Technology Services-Program Manager-Machine Learning,eClerx,Mumbai,5-10 Yrs,"Spark
Machine Learning
Python
IT Skills
AWS
Tensorflow
C++
C"
53,Artificial Intelligence & Machine Learning Expert,Infosys,Bangalore/Bengaluru,3-8 Yrs,"Azure ML
Artificial Intelligence
Machine Learning
Theano
Reinforcement Learning
Learning
AI
Keras"
54,R&D Engineer - Image/Video Processing - Machine Learning Algorithms,CRUX Consulting Services,Hosur,6-8 Yrs,"IT Skills
Python
Machine Learning
Cloud
Video Processing
PyTorch
Image Processing
Python"
55,Research Scientist (Artificial Intelligence/Machine Learning-Robotics),Intel,Bangalore/Bengaluru,4-8 Yrs,"Computer science
deep learning
Simulation
Analytical
Artificial Intelligence
Machine learning
System software
MATLAB"
56,Senior Software Developer - NLP/ Machine Learning/ Data Science,Cunesoft India Private Limited (a Phlexglobal Company),Bangalore/Bengaluru,5-8 Yrs,"IT Skills
Java
Python
Testing
Machine Learning
Cloud
Project Management
Data Science"
57,Data Engineer (Machine Learning) - ON Contract,Orcapod Consulting Services Private Limited,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",8-10 Yrs,"IT Skills
Python
Machine Learning
Cloud"
58,Data Scientist - Machine Learning,Best Infosystems Ltd,Chennai,5-10 Yrs,"Java
deep learning
C
Data Scientist
Data Management
Machine Learning
IEEE
Python"
59,Data Science Trainer | AI | Machine Learning | Python |,Careerera,Noida(Sector-59 Noida),2-7 Yrs,"communication
Python
Algorithms
Machine Learning
IT Skills
Data Science
data science faculty
Corporate Trainer"
60,Machine Learning Data Science Practitioner,Accenture,Bangalore/Bengaluru,4-6 Yrs,"Deep Learning
Machine Learning
ETL
analytical
Data Science
written
Big Data Processing
analytics"
61,Senior Machine Learning Engineer,Poshmark,Chennai,2-5 Yrs,"data science
Focus
Machine learning
SCALA
Data structures
WBS
MongoDB
Analytics"
62,Data Scientist - Machine Learning,TalPro,"Gurgaon/Gurugram, Delhi / NCR",3-6 Yrs,"IT Skills
Python
Data Science
Machine Learning
Product Management
Machine Learning
Data Management
Random Forests"
63,Data Scientist - Python/ MATLAB/ Machine Learning Algorithms,Wrackle Technologies Pvt Ltd,Bangalore/Bengaluru,3-8 Yrs,"Python
data analysis
data mining
Mining
machine learning
Statistical Analysis
written
verbal communication"
64,Lead Data Scientist - Machine Learning/ Data Mining,Wrackle Technologies Pvt Ltd,Bangalore/Bengaluru,6-11 Yrs,"Python
data analysis
data mining
R
machine learning
written
verbal communication
statistical analysis"
65,Data Scientist - Machine Learning/APICS,CarbyneTech India,Hyderabad/Secunderabad,3-8 Yrs,"Data Science
R
NLP
Artificial Intelligence
Data Management
Machine Learning
Python
Predictive Analytics"
66,Python Developer - Machine Learning,Axcess Consultancy Services,"Kolkata, Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru, Karnataka, Delhi NCR",5-7 Yrs,"programming language
Databricks
communication skills
HIPAA
Azure
Azure Cognitive Services
Microsoft Azure
DevOps"
67,Specialist- Data Analyst- Machine Learning/Spotfire,Carrier,Bangalore/Bengaluru,2-6 Yrs,"HVAC
Analytical
Artificial Intelligence
Machine learning
Javascript
Data Analyst
Refrigeration
Operations"
68,Machine Learning Engineer I,Phenompeople,Hyderabad/Secunderabad,1-6 Yrs,"Product management
Computer science
deep learning
data science
Coding
Machine learning
Agile
Data processing"
69,Machine Learning Engineer II,Phenompeople,Hyderabad/Secunderabad,5-10 Yrs,"Product management
Computer science
deep learning
data science
Coding
Machine learning
Agile
Data processing"
70,Machine Learning Engineer III,Phenompeople,Hyderabad/Secunderabad,6-11 Yrs,"Product management
Computer science
deep learning
data science
Coding
Machine learning
Agile
Data processing"
71,Machine Learning Engineer,Quantiphi Analytics Solutions Pvt. Ltd.,"Mumbai, Bangalore/Bengaluru, Trivandrum/Thiruvananthapuram",2-5 Yrs,"Data Flow
Java
object - oriented programming
NoSQL
Design Patterns
communication
Google Cloud Platform
Unix"
72,Applied Machine Learning Engineer,Flixdrop Technology,Bangalore/Bengaluru(Singasandra),1-3 Yrs,"Pytorch
machine learning
Computer Vision
Python
ElasticSearch
Spark
Tensorflow
Presto"
73,Google Cloud Machine Learning Services Application Developer,Accenture,Bangalore/Bengaluru,8-10 Yrs,"Pub
GCP
communication
Cloud Dataflow
agile
Cloud Bigquery
written
verbal"
74,Google Cloud Machine Learning Services Application Developer,Accenture,Bangalore/Bengaluru,6-8 Yrs,"Pub
Cloud Bigquery
written
Dataflow
verbal
communication
GCP
agile"
75,Senior Machine Learning Engineer,Arbolus Technologies,Gurgaon/Gurugram,3-5 Yrs,"IT Skills
Python
Testing
Machine Learning
Artificial Intelligence
Interpersonal skills
Version control
spark"
76,Data Science Engineer - Machine/Deep Learning Models - R/Python/Scala,CarbyneTech India,Hyderabad/Secunderabad,4-8 Yrs,"Deep Learning Models
Machine Learning
Data Science
Tensorflow
Artificial Intelligence
Scala
Hadoop
Big Data"
77,Machine Learning Engineer - Computer Vision,Scandid,Pune,4-8 Yrs,"Computer Vision
Machine Learning
TensorFlow
Data Science
NLP
Data Management
Algorithm
Deep Learning"
78,Senior Software Developer - NLP/Machine Learning/Data Science,Cunesoft India Private Limited (a Phlexglobal Company),Bangalore/Bengaluru,5-8 Yrs,"Machine Learning
Data Science
NLP
IT Skills
Java
Python
Testing
Cloud"
79,Senior Software Engineer - Machine Learning,Novartis Healthcare,Hyderabad/Secunderabad,7-12 Yrs,"IT services
Computer science
data security
Machine learning
Debugging
Agile
Clinical trials
Data collection"
80,Hiring For Data Scientist (Machine Learning) For an MNC Product based,PERSOLKELLY INDIA PRIVATE LIMITED,"Pune
(WFH during Covid)",6-11 Yrs,"Time Series
Machine Learning Algorithms
Machine Learning"
81,Solutions Lead - Machine Learning/Open Source/Big Data,New Horizons HR Solutions,"Mumbai, Hyderabad/Secunderabad, Bangalore/Bengaluru, Delhi / NCR",10-15 Yrs,"R
data science
Python
IT Skills
Java
Testing
Machine Learning
Big Data"
82,Lead Data Scientist - Deep Learning/Machine Learning,Confidential,Bangalore/Bengaluru,2-7 Yrs,"IT Skills
Python
Machine Learning
R
OpenCV
Data Scientist
Data Management
Time Series Forecasting"
83,Lead Data Scientist - Deep Learning/Machine Learning,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,2-7 Yrs,"Tensorflow
Machine Learning
Deep Learning
JIRA
Github
agile methodologies
python
Confluence"
84,Lead Data Scientist - Deep Learning/Machine Learning,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,2-7 Yrs,"Natural Language Processing
Machine Learning
Deep Learning
Neural Networks
Pytorch
Github
Git
Python"
85,Machine Learning Data Science Practitioner,Accenture,Mumbai,4-6 Yrs,"IT Skills
Python
Data Science
Machine Learning
Big Data
AWS
Azure
Operations research"
86,Machine Learning Data Science Practitioner,Accenture,Pune,4-6 Yrs,"Python
GCP
analytical
Azure
verbal
ETL
written
KNIME"
87,Machine Learning Data Science Practitioner,Accenture,Hyderabad/Secunderabad,4-6 Yrs,"Operations research
data science
GCP
Analytical
Consulting
Machine learning
Data processing
Subject Matter Expert"
88,Machine Learning Data Science Practitioner,Accenture,Pune,6-8 Yrs,"Data Science
ETL
verbal
Big Data Processing
Python
Machine Learning
written
analytical"
89,Machine Learning Data Science Practitioner,Accenture,Mumbai,4-6 Yrs,"Data Science
ETL
verbal
Big Data Processing
Python
Machine Learning
written
analytical"
90,Artificial Intelligence Developer - Nlp/machine Learning,Confidential,Bangalore/Bengaluru,3-5 Yrs,"Stanford Core
Artificial Intelligence
natural language processing
deep learning
predictive analytics
Computer Vision
NLTK
NLP"
91,Lead Machine Learning,First Employer,"Pune, Delhi / NCR",5-8 Yrs,"OOPs
Machine Learning
Python
Keras
Decision Tree
Reduction Statistical
Time Series
ElasticSearch"
92,Artificial Intelligence/Machine Learning Engineer - NLP/Python,Serving Skill,"Noida, Bangalore/Bengaluru",2-5 Yrs,"NLP
Machine Learning
Graph Analytics
IT Skills
Python
Software Development
Cloud
AWS"
93,Software Engineer - Machine Learning,Novartis Healthcare,Hyderabad/Secunderabad,4-9 Yrs,"IT services
Computer science
data security
Machine learning
Debugging
Agile
Clinical trials
Data collection"
94,Senior Machine Learning Engineer - Intelligent Video Analytics,NVIDIA,Pune,6-11 Yrs,"Graphics
Training
Analytical skills
Production management
Automation
Neural networks
Machine learning
SDK"
95,Data Science - Machine Learning Engineer,BCG Attorney Search,"Ahmedabad(Bodakdev)
(WFH during Covid)",5-8 Yrs,"algorithms
Business Intelligence
Visualization
Statistician
predictive analytics
Big Data
Data Mining
machine learning"
96,Machine Learning Engineer - Data Modeling/Predictive Modeling,Marktine,Remote,3-6 Yrs,"Predictive Modeling
Data Modeling
Machine Learning
IT Skills
Data Quality
RNN
Data Pipeline
DNN"
97,Data Scientist - Machine Learning/Python,CarbyneTech India,Hyderabad/Secunderabad,3-8 Yrs,"Predictive Modeling
R
Data Scientist
Data Management
Machine Learning
Python
SQL"
98,Data Scientist - Image Processing/Machine Learning,CarbyneTech India,Hyderabad/Secunderabad,6-11 Yrs,"Predictive Modeling
Data Science
Data Scientist
Time Series Analysis
Image Processing
Data Management
Machine Learning
Predictive Analytics"
99,Data Scientist - Image Processing/ Machine Learning,CarbyneTech India,Hyderabad/Secunderabad,6-11 Yrs,"Predictive Modeling
Data Science
Data Scientist
Time Series Analysis
Image Processing
Data Management
Statistical Analyst
Machine Learning"
100,Lead Data Scientist - Statistical Modeling/Machine Learning,Bigtapp Analytics,Chennai,5-8 Yrs,"Data Science
Tensorflow
NoSQL
Data Scientist
Hadoop
Statistical Modeling
HDFS
Algorithm"
101,Machine Learning / Devops (MLOPS) Engineer,TRH Consultancy Services,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Coimbatore, Bangalore/Bengaluru, Delhi / NCR",7-12 Yrs,"Machine Learning
Devops
AWS
IT Skills
Python
Testing
Quality Assurance
Data Science"
102,Artificial Intelligence/ Machine Learning Engineer (NLP/Python),EndoSoft Solutions Pvt Ltd,"Bangalore/Bengaluru(Whitefield)
(WFH during Covid)",2-6 Yrs,"Artificial Intelligence
Natural Language Processing
Machine Learning
TensorFlow
Azure
Kubeflow
Java
network architectures"
103,Lead Machine Learning Engineer,Kimberly-Clark Lever Limited,Bangalore/Bengaluru,12-17 Yrs,"Computer science
deep learning
C++
data science
Neural networks
Analytical
Machine learning
linear regression"
104,Machine Learning Engineer,SYREN TECHNOLOGIES PRIVATE LIMITED,"Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)
(WFH during Covid)",4-9 Yrs,"IT Skills
Java
Python
Machine Learning
Cloud
GCP
Hadoop"
105,Research Engineer (Machine Learning/ Computer Vision/ Video Analytics),Staqu Technologies,New Delhi,2-5 Yrs,"Video Analytics
Computer Vision
Machine Learning
TensorFlow
TensorFlow Framework
OpenCV
PyTorch
Theano"
106,Machine Learning Lead / Architect - Looking For Early Joiners - Wipro,Wipro,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5-10 Yrs,"IT Skills
Python
Cloud
deep learning
tensorflow
caffe
computer vision
pytorch"
107,Machine Learning - Java,Compass Systems Private Limited,Noida,2-6 Yrs,"IT Skills
Java
Artificial Intelligence
Big Data
Tensor flow
Numpy Libraries
Machine Learning
Weka"
108,Manager - Machine Learning Engineer ( Data Science ) ( Females only ),Pylon Management Consulting Pvt Ltd,Remote,7-9 Yrs,"Machine Learning
Deep Learning
Python
IT Skills
Java
Software Development
Data Science
Cloud"
109,PhD/Post Graduate in Machine Learning/Computational Mathematics,DCG Data-Core Systems (India) Pvt. Ltd.,Kolkata,0-0 Yrs,"Deep Learning
Machine Learning
LSTM
Data Analysis
Synthetic Data Generation
CNN
Pattern Recognition
Classification Algorithm"
110,Sr. Data Scientist- Advanced Analytics/Data Science & Machine Learning,Fidelity IT Jobs,Gurgaon/Gurugram,7-12 Yrs,"Data Science
R
Scala
Data Management
Advanced Analytics
Web Analytics
Data Modeling
Data Analytics"
111,"Sr. Analyst, Modeling (Machine Learning)",Risk Management Solutions (RMS),Noida,1-4 Yrs,"python
Excel
machine learning
IT Skills
Testing
risk management
r
data analysis"
112,Machine Learning Developer,Innodata Isogen,"Noida
(WFH during Covid)",3-5 Yrs,"Natural Language
TensorFlow
spaCy
Python
Azure
Stanford suite
written communication
Machine Learning"
113,Python Developer - Django/Machine Learning,Vasundhara Infotech,Surat,0-1 Yrs,"front - end technologies
HTML5
object - relational mapping ( ORM )
Machine Learning
Machin Learning
JavaScript
Django
Python framework"
114,Machine Learning Engineer - Data Science,Yo HR Consultancy,Bangalore/Bengaluru,3-5 Yrs,"Data Science
data modeling
Machine Learning
IT Skills
Python
Software Development
Cloud
AWS"
115,Manager- Data Science-Machine learning (9+ years) Female candidates,CRESCENDO GLOBAL LEADERSHIP HIRING INDIA PRIVATE L IMITED,"Gurgaon/Gurugram
(WFH during Covid)",9-14 Yrs,"data science
machine learning
statistics
IT Skills
Cloud
AWS
Azure
analytics"
116,Data Scientist - Machine Learning,ZISPL,Gurgaon/Gurugram,5-7 Yrs,"data mining
Tableau
Machine Learning
SAS Visual Analytics
analytical
Machine Learning lifecycle
Python
AWSAzureGCP"
117,Data Scientist || Machine Learning Engineer || Deep Learning,Schlesinger Group,"Noida, Gurgaon/Gurugram, Delhi / NCR",3-6 Yrs,"IT Skills
Python
Data Science
Machine Learning
Predictive Modeling
Tensorflow
R
NLP"
118,Google Cloud Machine Learning Lead,Accenture,"Pune, Bangalore/Bengaluru, Mumbai (All Areas)",13-17 Yrs,"IT Skills
Java
Python
Cloud
AWS
Azure
Google Cloud Services
Data"
119,Artificial Intelligence/ Machine Learning Freshers,IGT Solutions,Gurgaon/Gurugram,4-8 Yrs,"deep learning
python
spacy
tensorflow
r
data science
nltk
machine learning"
120,Senior Machine Learning Engineer,Wolters Kluwer,"Kalyani, Pune",4-8 Yrs,"Computer science
deep learning
Data analysis
Machine learning
Agile
Healthcare
Open source
Forecasting"
121,Senior Machine Learning Engineer/Associate - Distributed Computing,Getinz Techno Services,"Chennai, Bangalore/Bengaluru",1-6 Yrs,"Distributed Computing
Machine Learning
Python
Tensorflow
Spark ML
H2O
Scala
JavaPythonGolang"
122,"Cloud Engineer, Machine Learning and Big Data",Google,"Mumbai, Hyderabad/Secunderabad, Gurgaon/Gurugram, Bangalore/Bengaluru",3-8 Yrs,"IT Skills
Python
Software Development
Data Science
Machine Learning
Cloud
Big Data
Computer science"
123,Data Science Engineer- Machine/Deep Learning Models- R/Python/Scala,CarbyneTech India,Hyderabad/Secunderabad,4-8 Yrs,"Data Science
Tensorflow
R
Artificial Intelligence
Scala
Time Series Forecasting
Big Data
Machine Learning"
124,Data Scientist - Machine/deep Learning Algorithms,CarbyneTech India,Hyderabad/Secunderabad,3-8 Yrs,"Ai
R
Neural networks
Anaconda
Deep Learning
ML
Python
machine learning"
125,Python Developer - Machine Learning,Axcess Consultancy Services,"Kolkata, Hyderabad/Secunderabad, Chennai, Delhi / NCR, Bangalore/Bengaluru, Karnataka",5-7 Yrs,"OpenShift
Machine Learning
Python
HIPAA
Azure
Azure Cognitive Services
Databricks
Microsoft Azure"
126,Senior/Lead Data Scientist - Machine Learning/Deep Learning,Squareroot Consulting Pvt Ltd.,Bangalore/Bengaluru,1-6 Yrs,"Visualization
Exploratory Testing
Machine Learning
PHD
Deep Learning
.
Data Structure
NLP"
127,Data Scientist & Machine Learning Engineer,ASCENT TECHNOSYSTEMS PRIVATE LIMITED,Pune(Kalyani Nagar),0-5 Yrs,"NLP
ML algorithm
Machine Learning
Databricks
Hive
Model Tuning
Anaconda
Anaconda Enterprise"
128,Urgent opening For Machine Learning Engineer,Genius Consultants Limited,Bangalore/Bengaluru,5-10 Yrs,"python
open source
MLops
build
linux
jenkins
terraform
Bash"
129,Research Scientist/Engineer - Computer Vision/Machine Learning,Career Maker,Hyderabad/Secunderabad,4-9 Yrs,"Image Processing
Computer Vision
Machine Learning
written
Multi - threading
verbal
communication
OCR"
130,Machine Learning Engineer,Iclear Technology Pvt Ltd,Noida,1-3 Yrs,"probability and statistics
Communication Skills
Computer Science
Machine Learning Algorithms
Data Modeling
Applied Mathematics"
131,NLP Engineer - Machine Learning/Named Entity Recognition,Wrackle Technologies Pvt Ltd,Bangalore/Bengaluru,4-9 Yrs,"data structures
Natural Language Processing
Python
Machine Learning
IT Skills
Software Development
Named Entity Recognition
NLP"
132,Fareportal Hiring : Machine Learning Expert : Work from Anywhere,Fareportal,Gurgaon/Gurugram,4-9 Yrs,"Algorithms
data science
machine learning models
Machine Learning
Python"
133,Lead - Machine Learning,Shiprocket,Delhi / NCR,5-9 Yrs,"object - oriented programming
OOP
R
NoSQL
Unix
Linux
SQL
PHP"
134,Embedded AI Engineer - Machine Learning/Computer Vision,e-con Systems,Chennai,4-6 Yrs,"Image Processing
Data Structures
C++
Computer Vision
Machine Learning
Embedded C++
AI - Embedded Products
Algorithms"
135,Machine Learning Operations Specialist - Big Data/AI,Axcess Consultancy Services,Bangalore/Bengaluru,5-9 Yrs,"Artificial Intelligence
Machine Learning Operations
Data Analytics
IT Skills
Machine Learning
Cloud
DevOps
Big Data"
136,Data Scientist - Machine Learning/Deep Learning,Serving Skill,Bangalore/Bengaluru,4-6 Yrs,"Data Science
Tensorflow
ElasticSearch
Data Scientist
Data Mining
MongoDB
Algorithm
Machine Learning"
